"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Feb 20 13:43:04 GMT 2025","Thu Feb 20 13:43:04 GMT 2025","0","","Skill Acquirement","","api.skill.SkillAcquirementTests","reviewSkillGradeBySupervisorWithEmptyBody","[API][SkillAcquirement] 3070 - 400 СК при пустом теле запроса PUT /api/v1/supervisor/skills/grade/review",""
"passed","Thu Feb 20 13:42:42 GMT 2025","Thu Feb 20 13:42:42 GMT 2025","169","","Experts","","api.experts.ExpertsTests","sendExpertDecisionAfterReview","[Experts] 2510 - Создание экспертного заключения после проверки POST /api/v1/expert/skills/grade/review",""
"failed","Thu Feb 20 13:44:27 GMT 2025","Thu Feb 20 13:44:27 GMT 2025","131","","Skill Acquirement","","api.skill.SkillAcquirementTests","changingSkillGradeByTeamLeadNotHisSubordinate","[API] [Skill acquirements] 3145 - 403 СК при попытке аппрува навыка юзера, который не является подчиненным PUT /api/v1/skills/grade/suggest/teamleader",""
"passed","Thu Feb 20 13:42:48 GMT 2025","Thu Feb 20 13:42:48 GMT 2025","74","","Experts","","api.experts.ExpertsTests","getExpertApplicationsUnauthorized","[Experts] 3312 - 401 СК при отсутствии авторизации GET /api/v1/expert/applications",""
"broken","Thu Feb 20 13:44:28 GMT 2025","Thu Feb 20 13:44:28 GMT 2025","47","","Skill Acquirement","","api.skill.SkillAcquirementTests","reviewSkillGradeBySupervisorWithNotExistGrade","[API][SkillAcquirement] 3071 - 400 СК при отправке запроса с несуществующим уровнем грейда PUT /api/v1/supervisor/skills/grade/review",""
"passed","Thu Feb 20 13:42:56 GMT 2025","Thu Feb 20 13:42:56 GMT 2025","78","","Management Position","","api.managementPosition.ManagementPositionTests","deleteManagementPositionsByIdIfTheUserDoesNotHaveRights","[API] [ManagementPosition] 403 ошибка при отправке запроса DELETE /api/v1/management/{id}",""
"passed","Thu Feb 20 13:43:39 GMT 2025","Thu Feb 20 13:43:39 GMT 2025","138","","Supervisor","","api.supervisor.SupervisorTests","getApplicationsForSupervisorNonExistUUID","[API][Supervisor] 3337 - 200СК Возврат пустого массива, при передаче несуществующего supervisorId GET/api/v1/supervisors/{supervisorId}/applications",""
"passed","Thu Feb 20 13:43:34 GMT 2025","Thu Feb 20 13:43:35 GMT 2025","140","","Specializations","","api.specialization.SpecializationTests","verifyJsonSchemaForSpecializations","[Specializations] 2413 - Ответ от GET /api/v1/specializations соответствует json-схеме",""
"passed","Thu Feb 20 13:43:21 GMT 2025","Thu Feb 20 13:43:21 GMT 2025","326","","Skill","","api.skill.SkillTests","getNonTerminatedSkills","[Skill] 2499 - Получение списка незавершенных навыков GET /api/v1/skills/parents",""
"failed","Thu Feb 20 13:44:21 GMT 2025","Thu Feb 20 13:44:21 GMT 2025","146","","Experts","","api.experts.ExpertsTests","getExpertWithInvalidSpecializationId","[Experts] 3434 - 400 СК при невалидном {specializationId} GET /api/v1/experts",""
"passed","Thu Feb 20 13:43:42 GMT 2025","Thu Feb 20 13:43:42 GMT 2025","66","","User","","api.user.UserTests","getUserForEditWithoutAuthorization","[User] 401 ошибка при отправке запроса POST /api/v1/users",""
"passed","Thu Feb 20 13:42:59 GMT 2025","Thu Feb 20 13:42:59 GMT 2025","82","","Role","","api.role.RoleTests","deleteRoleWithInvalidRoleId","[Role] 3466 - 400СК, при отправке невалидного {roleId} DELETE /api/v1/roles/{roleId}",""
"passed","Thu Feb 20 13:43:33 GMT 2025","Thu Feb 20 13:43:33 GMT 2025","73","","Specializations","","api.specialization.SpecializationTests","getSkillSpecializationRequirementsWithInvalidSpecializationId","[Specializations] 3538 - 400 СК при запросе GET /api/v1/specializations/{specializationId}/skill-specialization-requirements",""
"passed","Thu Feb 20 13:43:38 GMT 2025","Thu Feb 20 13:43:38 GMT 2025","81","","Supervisor","","api.supervisor.SupervisorTests","getApplicationsForSupervisorBadRequest","[API][Supervisor] 3338 - 400СК, при отправке невалидного supervisorId GET/api/v1/supervisors/{supervisorId}/applications",""
"failed","Thu Feb 20 13:44:29 GMT 2025","Thu Feb 20 13:44:29 GMT 2025","153","","Skill Grade Description","","api.skill.SkillGradeDescriptionTests","createUpdateSkillDescription","[SkillGradeDescription] 2452 - Установить описание уровня навыка PUT /api/v1/skill-grade-descriptions",""
"skipped","Thu Feb 20 13:43:46 GMT 2025","Thu Feb 20 13:43:46 GMT 2025","0","","User","","api.user.UserTests","addsRemovesUserPermissionsBadBodyRequestData","[API] [User] 400 ошибка при отправке запроса PUT /api/v1/users/{userId}/permissions",""
"passed","Thu Feb 20 13:43:48 GMT 2025","Thu Feb 20 13:43:48 GMT 2025","61","","User","","api.user.UserTests","deleteUserIfUserUnauthorized","[API] [User] 401 ошибка при отправке запроса DELETE /api/v1/users/{userId}",""
"passed","Thu Feb 20 13:42:37 GMT 2025","Thu Feb 20 13:42:37 GMT 2025","121","","Experts","","api.experts.ExpertsTests","sendExpertDecisionAfterReviewWithNonExistentSkillId","[Experts] 3525 - 400 СК при отправке запроса с несуществующим {skillId} POST /api/v1/expert/skills/grade/review",""
"failed","Thu Feb 20 13:44:27 GMT 2025","Thu Feb 20 13:44:27 GMT 2025","117","","Skill Acquirement","","api.skill.SkillAcquirementTests","suggestSkillGradeToReviewWithANonExistentGradeId","[API][SkillAcquirement] 3410 - 404 СК при отправке запроса с несуществующем {gradeId} PUT /api/v1/skills/grade/suggest",""
"failed","Thu Feb 20 13:44:30 GMT 2025","Thu Feb 20 13:44:30 GMT 2025","88","","Skill","","api.skill.SkillTests","returnListSkillsTreeInTheAbsenceOfSkills","[API] [Skills] 3362 - 200СК с пустым массивом, при отправке специализации без скиллов POST /api/v1/skills/tree",""
"failed","Thu Feb 20 13:44:38 GMT 2025","Thu Feb 20 13:44:38 GMT 2025","81","","Specializations","","api.specialization.SpecializationTests","verifyJsonSchemaForSpecializationRequirements","[Specializations] 2414 - Ответ от GET /api/v1/specializations/{specializationId}/skill-specialization-requirements соответствует json-схеме",""
"passed","Thu Feb 20 13:43:07 GMT 2025","Thu Feb 20 13:43:07 GMT 2025","148","","Skill Content","","api.skill.SkillContentTests","updateContentById","[SkillContent] 2440 - Обновление контента по ID PUT /api/v1/content/{contentId}.",""
"passed","Thu Feb 20 13:43:07 GMT 2025","Thu Feb 20 13:43:07 GMT 2025","92","","Skill Content","","api.skill.SkillContentTests","deleteContentByIdForbidden","[API] [SkillContent] 3249 - 403 при отсутствии полномочий DELETE /api/v1/content/{contentId}",""
"passed","Thu Feb 20 13:43:41 GMT 2025","Thu Feb 20 13:43:41 GMT 2025","131","","User","","api.user.UserTests","getUserForEdit","[User] 2428 - Ответ от POST /api/v1/users соответствует json-схеме",""
"broken","Thu Feb 20 13:44:30 GMT 2025","Thu Feb 20 13:44:30 GMT 2025","112","","Skill","","api.skill.SkillTests","changeSkill","[Skill] 2497 - Изменение навыка по ID PUT /api/v1/skills/{skillId}",""
"passed","Thu Feb 20 13:42:37 GMT 2025","Thu Feb 20 13:42:38 GMT 2025","181","","Experts","","api.experts.ExpertsTests","addExpertToTheSkills","[Experts] 2483 - Добавление нового эксперта к навыкам POST /api/v1/expert/skills",""
"passed","Thu Feb 20 13:42:45 GMT 2025","Thu Feb 20 13:42:45 GMT 2025","88","","Experts","","api.experts.ExpertsTests","addExpertToSkillsWithoutPermission","[Experts] 3472 - 403 СК при отсутствии доступа POST /api/v1/expert/skills",""
"passed","Thu Feb 20 13:42:17 GMT 2025","Thu Feb 20 13:42:17 GMT 2025","118","","Audit","","api.audit.AuditTests","getAllSkillsHistoryBySkillIdWithoutPermission","[Audit] 3496 - 403 СК при запросе GET /api/v1/history/skills/{skillId}",""
"failed","Thu Feb 20 13:44:30 GMT 2025","Thu Feb 20 13:44:30 GMT 2025","90","","Skill","","api.skill.SkillTests","returnSkillAvailabilityForUserWithInvalidUserId","[Skill] 3537 - 400СК, при отправке невалидного userId HEAD api/v1/skills/{skillId}",""
"passed","Thu Feb 20 13:42:57 GMT 2025","Thu Feb 20 13:42:58 GMT 2025","143","","Role","","api.role.RoleTests","updateTheRoleUnknownUserId","[Role] 3432 - 404СК, при отправке несуществующего id PUT /api/v1/roles",""
"passed","Thu Feb 20 13:43:13 GMT 2025","Thu Feb 20 13:43:13 GMT 2025","71","","Skill","","api.skill.SkillTests","deleteContentRatingUnauthorized","[API] [Skill] 3275 - 401 СК при отсутствии авторизации {contentId} DELETE /api/v1/skills/reaction",""
"passed","Thu Feb 20 13:43:45 GMT 2025","Thu Feb 20 13:43:46 GMT 2025","225","","User","","api.user.UserTests","getUsersByFirstLastNameFromReportalWithPagination","[User] 2565 - Ответ от POST /api/v1/users/paginate-search соответствует json-схеме",""
"passed","Thu Feb 20 13:42:58 GMT 2025","Thu Feb 20 13:42:58 GMT 2025","62","","Role","","api.role.RoleTests","getListOfRolesUnauthorized","[Role] 3374 - 401 при отсутствии авторизации GET /api/v1/roles",""
"passed","Thu Feb 20 13:43:06 GMT 2025","Thu Feb 20 13:43:07 GMT 2025","191","","Skill Content","","api.skill.SkillContentTests","updateContentByIdNotFound","[API] [SkillContent] 3247 - 404 СК при обновлении additional/main контента с несуществующим {contentId} PUT /api/v1/content/{contentId}",""
"passed","Thu Feb 20 13:43:05 GMT 2025","Thu Feb 20 13:43:05 GMT 2025","77","","Skill Acquirement","","api.skill.SkillAcquirementTests","changingSkillGradeByTeamLeadInTheAbsenceOfAuthorization","[API] [Skill acquirements] 3402 - 401 СК при отсутствии авторизации PUT /api/v1/skills/grade/suggest/teamleader",""
"passed","Thu Feb 20 13:42:56 GMT 2025","Thu Feb 20 13:42:56 GMT 2025","71","","Permissions","","api.permissions.PermissionsTests","getAllPermissions","[Permissions] 2418 - Ответ от GET /api/v1/permissions возвращает все пермишены",""
"passed","Thu Feb 20 13:43:32 GMT 2025","Thu Feb 20 13:43:32 GMT 2025","257","","Specializations","","api.specialization.SpecializationTests","updateNewSpecializationNotFound","[API][Specialization] 3580 - 400 СК при запросе PATCH /api/v1/specializations без обязательного ключа id",""
"passed","Thu Feb 20 13:43:36 GMT 2025","Thu Feb 20 13:43:36 GMT 2025","74","","Specializations","","api.specialization.SpecializationTests","specializationsBySkillIdWithInvalidSkillId","[Specializations] 3547 - 400 СК при запросе GET /api/v1/specializations/skills/{skillId}",""
"passed","Thu Feb 20 13:43:10 GMT 2025","Thu Feb 20 13:43:10 GMT 2025","81","","Skill Description","","api.skill.SkillDescriptionTests","getDescriptionForSkillIdThatNotExist","[SkillDescription] 992 - Запрос GET /skills/{skillId}/descriptions несуществующего скилла возвращает СК 404",""
"failed","Thu Feb 20 13:44:24 GMT 2025","Thu Feb 20 13:44:24 GMT 2025","174","","History Skill Changes","","api.skill.HistorySkillChangesTests","sendingARequestFromAnAccountThatDoesNotHaveTheAuthorityToDoSo","[API] [HistorySkillChanges] 3188 - 403 СК при отправке запроса с аккаунта, у которого нет на это полномочий GET /api/v1/skills/changeHistory/{skillId}/{userId}",""
"failed","Thu Feb 20 13:44:30 GMT 2025","Thu Feb 20 13:44:31 GMT 2025","79","","Skill","","api.skill.SkillTests","getSkillInfoWithoutSkillId","[Skill] 3499 - 405СК, при отсутствии переменной skillId в пути GET api/v1/skills/{skillId}",""
